date,aa_slug,creator,name,release_date,intelligence_index,coding_index,price_1m_input,price_1m_output,price_1m_blended_3_to_1,output_tps,ttft_s,ttfat_s
2026-09-06,gpt-6-astra-non-reasoning,openai,GPT-6 Astra (Non-reasoning),2026-09-03,47.8,76.2,10.0,50.0,20.0,,,
2026-09-06,gpt-6-astra-high,openai,GPT-6 Astra (high),2026-09-03,53.4,77.1,10.0,50.0,20.0,57.3,21.249,21.249
2026-09-06,gpt-6-astra-low,openai,GPT-6 Astra (low),2026-09-03,49.3,75.7,10.0,50.0,20.0,56.6,1.203,1.203
2026-09-06,gpt-6-astra,openai,GPT-6 Astra (max),2026-09-03,54.7,76.9,10.0,50.0,20.0,61.3,184.627,184.627
2026-09-06,gpt-6-astra-medium,openai,GPT-6 Astra (medium),2026-09-03,52.2,76.7,10.0,50.0,20.0,58.4,3.06,3.06
2026-09-06,gpt-6-astra-xhigh,openai,GPT-6 Astra (xhigh),2026-09-03,54.3,75.9,10.0,50.0,20.0,57.5,61.929,61.929
2026-09-06,glm-5-3-flash,zai,GLM-5.3-Flash,2026-08-26,46.2,71.5,0.15,0.5,0.237,43.8,1.209,46.847
2026-09-06,gemini-3-8-flash,google,Gemini 3.8 Flash (high),2026-09-02,47.1,76.3,0.75,3.75,1.5,340.0,8.147,8.147
2026-09-06,gemini-3-8-flash-low,google,Gemini 3.8 Flash (low),2026-09-02,42.4,73.5,0.75,3.75,1.5,288.5,0.688,0.688
2026-09-06,gemini-3-8-flash-medium,google,Gemini 3.8 Flash (medium),2026-09-02,46.8,74.1,0.75,3.75,1.5,392.0,5.045,5.045
2026-09-06,qwen3-8-flash-next,alibaba,Qwen3.8-Flash-Next,2026-08-26,45.6,73.1,0.15,0.47,0.23,73.9,1.302,28.35
2026-09-06,quasar-438b,multiversecomputing,"Quasar 438B (max, based on GLM-5.2)",2026-08-10,33.9,61.2,0.6,1.8,0.9,188.1,0.357,10.989
2026-09-06,gpt-oss-20b,openai,gpt-oss-20b (high),2025-08-05,9.1,20.7,0.06,0.19,0.092,184.3,0.418,11.27
2026-09-06,gpt-oss-20b-low,openai,gpt-oss-20b (low),2025-08-05,8.4,,0.07,0.2,0.103,232.4,0.553,9.157
2026-09-06,gpt-5-6-terra-medium,openai,GPT-5.6 Terra (medium),2026-07-09,37.2,64.7,2.0,12.0,4.5,90.6,1.837,1.837
2026-09-06,gpt-oss-120b,openai,gpt-oss-120b (high),2025-08-05,15.6,30.4,0.15,0.595,0.261,180.9,0.463,11.521
2026-09-06,o3,openai,o3,2025-04-16,23.7,,2.0,8.0,3.5,122.5,4.411,4.411
2026-09-06,gpt-5-6-sol-low,openai,GPT-5.6 Sol (low),2026-07-09,40.8,69.7,4.0,20.0,8.0,75.8,2.098,2.098
2026-09-06,gpt-5-6-luna-low,openai,GPT-5.6 Luna (low),2026-07-09,25.8,44.2,0.2,1.2,0.45,103.8,1.514,1.514
2026-09-06,gpt-oss-120b-low,openai,gpt-oss-120b (low),2025-08-05,8.9,21.2,0.15,0.545,0.249,211.8,0.456,9.9
2026-09-06,gpt-5-6-terra,openai,GPT-5.6 Terra (max),2026-07-09,46.8,76.7,2.0,12.0,4.5,104.1,104.021,104.021
2026-09-06,gpt-5-6-sol,openai,GPT-5.6 Sol (max),2026-07-09,51.3,77.4,4.0,20.0,8.0,79.3,50.228,50.228
2026-09-06,gpt-5-6-luna,openai,GPT-5.6 Luna (max),2026-07-09,43.4,71.4,0.2,1.2,0.45,110.5,104.276,104.276
2026-09-06,gpt-5-6-sol-non-reasoning,openai,GPT-5.6 Sol (Non-reasoning),2026-07-09,32.9,65.1,4.0,20.0,8.0,72.1,0.927,0.927
2026-09-06,gpt-5-6-terra-non-reasoning,openai,GPT-5.6 Terra (Non-reasoning),2026-07-09,26.3,52.3,2.0,12.0,4.5,83.7,0.889,0.889
2026-09-06,gpt-5-6-luna-non-reasoning,openai,GPT-5.6 Luna (Non-reasoning),2026-07-09,19.3,39.3,0.2,1.2,0.45,110.4,0.817,0.817
2026-09-06,gpt-5-6-sol-medium,openai,GPT-5.6 Sol (medium),2026-07-09,46.0,76.3,4.0,20.0,8.0,75.2,4.469,4.469
2026-09-06,gpt-5-6-sol-xhigh,openai,GPT-5.6 Sol (xhigh),2026-07-09,49.8,78.3,4.0,20.0,8.0,78.5,18.362,18.362
2026-09-06,gpt-5-6-terra-low,openai,GPT-5.6 Terra (low),2026-07-09,32.4,58.1,2.0,12.0,4.5,87.0,1.559,1.559
2026-09-06,gpt-5-5-instant-06-26,openai,GPT-5.5 Instant (June 2026),2026-06-25,21.6,39.4,5.0,30.0,11.25,138.1,0.905,15.383
2026-09-06,gpt-5-6-luna-high,openai,GPT-5.6 Luna (high),2026-07-09,37.4,63.3,0.2,1.2,0.45,104.0,8.265,8.265
2026-09-06,gpt-5-6-terra-xhigh,openai,GPT-5.6 Terra (xhigh),2026-07-09,44.4,70.6,2.0,12.0,4.5,92.1,9.548,9.548
2026-09-06,gpt-5-6-sol-high,openai,GPT-5.6 Sol (high),2026-07-09,48.3,77.2,4.0,20.0,8.0,73.5,6.906,6.906
2026-09-06,gpt-5-6-luna-xhigh,openai,GPT-5.6 Luna (xhigh),2026-07-09,41.6,68.6,0.2,1.2,0.45,109.6,34.591,34.591
2026-09-06,gpt-5-6-terra-high,openai,GPT-5.6 Terra (high),2026-07-09,41.3,67.1,2.0,12.0,4.5,86.9,2.706,2.706
2026-09-06,gpt-5-3-codex,openai,GPT-5.3 Codex (xhigh),2026-02-05,36.9,,1.75,14.0,4.813,120.1,31.505,31.505
