model,first_date,first_price,last_date,last_price,pct_change
nvidia/nemotron-3-ultra-550b-a55b,2026-07-22,3.6,2026-07-23,2.2,-38.9
google/gemma-4-31b-it,2026-07-22,0.37,2026-07-23,0.35,-5.4
meta-llama/llama-3.2-3b-instruct,2026-07-22,0.335,2026-07-23,0.33,-1.5
z-ai/glm-5.2,2026-07-22,2.53,2026-07-23,2.5256,-0.2
anthropic/claude-opus-4.8,2026-07-22,25.0,2026-07-23,25.0,0.0
anthropic/claude-opus-4.8-fast,2026-07-22,50.0,2026-07-23,50.0,0.0
anthropic/claude-sonnet-4,2026-07-22,15.0,2026-07-23,15.0,0.0
anthropic/claude-sonnet-4.5,2026-07-22,15.0,2026-07-23,15.0,0.0
anthropic/claude-sonnet-4.6,2026-07-22,15.0,2026-07-23,15.0,0.0
anthropic/claude-sonnet-5,2026-07-22,10.0,2026-07-23,10.0,0.0
anthropic/claude-haiku-4.5,2026-07-22,5.0,2026-07-23,5.0,0.0
anthropic/claude-fable-5,2026-07-22,50.0,2026-07-23,50.0,0.0
anthropic/claude-3-haiku,2026-07-22,1.25,2026-07-23,1.25,0.0
anthracite-org/magnum-v4-72b,2026-07-22,5.0,2026-07-23,5.0,0.0
~google/gemini-pro-latest,2026-07-22,12.0,2026-07-23,12.0,0.0
~google/gemini-flash-latest,2026-07-22,7.5,2026-07-23,7.5,0.0
~anthropic/claude-sonnet-latest,2026-07-22,10.0,2026-07-23,10.0,0.0
~anthropic/claude-opus-latest,2026-07-22,25.0,2026-07-23,25.0,0.0
~anthropic/claude-haiku-latest,2026-07-22,5.0,2026-07-23,5.0,0.0
~anthropic/claude-fable-latest,2026-07-22,50.0,2026-07-23,50.0,0.0
arcee-ai/trinity-large-thinking,2026-07-22,0.8,2026-07-23,0.8,0.0
~openai/gpt-mini-latest,2026-07-22,4.5,2026-07-23,4.5,0.0
~openai/gpt-latest,2026-07-22,30.0,2026-07-23,30.0,0.0
~moonshotai/kimi-latest,2026-07-22,15.0,2026-07-23,15.0,0.0
x-ai/grok-build-0.1,2026-07-22,2.0,2026-07-23,2.0,0.0
x-ai/grok-4.5,2026-07-22,6.0,2026-07-23,6.0,0.0
x-ai/grok-4.3,2026-07-22,2.5,2026-07-23,2.5,0.0
x-ai/grok-4.20-multi-agent,2026-07-22,2.5,2026-07-23,2.5,0.0
x-ai/grok-4.20,2026-07-22,2.5,2026-07-23,2.5,0.0
writer/palmyra-x5,2026-07-22,6.0,2026-07-23,6.0,0.0
upstage/solar-pro-3,2026-07-22,0.6,2026-07-23,0.6,0.0
undi95/remm-slerp-l2-13b,2026-07-22,0.65,2026-07-23,0.65,0.0
bytedance-seed/seed-1.6-flash,2026-07-22,0.3,2026-07-23,0.3,0.0
bytedance-seed/seed-1.6,2026-07-22,2.0,2026-07-23,2.0,0.0
baidu/ernie-4.5-vl-424b-a47b,2026-07-22,1.25,2026-07-23,1.25,0.0
anthropic/claude-opus-4.7-fast,2026-07-22,150.0,2026-07-23,150.0,0.0
google/gemini-3.1-flash-image-preview,2026-07-22,3.0,2026-07-23,3.0,0.0
google/gemini-3.1-flash-image,2026-07-22,3.0,2026-07-23,3.0,0.0
google/gemini-3-pro-image-preview,2026-07-22,12.0,2026-07-23,12.0,0.0
google/gemini-3-pro-image,2026-07-22,12.0,2026-07-23,12.0,0.0
google/gemini-3-flash-preview,2026-07-22,3.0,2026-07-23,3.0,0.0
google/gemini-2.5-pro-preview-05-06,2026-07-22,10.0,2026-07-23,10.0,0.0
google/gemini-2.5-pro-preview,2026-07-22,10.0,2026-07-23,10.0,0.0
google/gemini-2.5-pro,2026-07-22,10.0,2026-07-23,10.0,0.0
google/gemini-2.5-flash-lite,2026-07-22,0.4,2026-07-23,0.4,0.0
google/gemini-2.5-flash-image,2026-07-22,2.5,2026-07-23,2.5,0.0
google/gemini-2.5-flash,2026-07-22,2.5,2026-07-23,2.5,0.0
deepseek/deepseek-v4-pro,2026-07-22,0.87,2026-07-23,0.87,0.0
deepseek/deepseek-v4-flash,2026-07-22,0.196,2026-07-23,0.196,0.0
deepseek/deepseek-v3.2-exp,2026-07-22,0.41,2026-07-23,0.41,0.0
deepseek/deepseek-v3.2,2026-07-22,0.4,2026-07-23,0.4,0.0
ibm-granite/granite-4.0-h-micro,2026-07-22,0.112,2026-07-23,0.112,0.0
minimax/minimax-m2.7,2026-07-22,1.0,2026-07-23,1.0,0.0
gryphe/mythomax-l2-13b,2026-07-22,0.06,2026-07-23,0.06,0.0
google/gemma-3n-e4b-it,2026-07-22,0.12,2026-07-23,0.12,0.0
google/gemma-3-4b-it,2026-07-22,0.1,2026-07-23,0.1,0.0
google/gemma-3-27b-it,2026-07-22,0.3,2026-07-23,0.3,0.0
google/gemma-3-12b-it,2026-07-22,0.15,2026-07-23,0.15,0.0
google/gemma-2-27b-it,2026-07-22,0.65,2026-07-23,0.65,0.0
google/gemini-3.6-flash,2026-07-22,7.5,2026-07-23,7.5,0.0
