date,alibaba,amazon,anthracite-org,anthropic,arcee-ai,baai,bytedance-seed,cognitivecomputations,cohere,deepseek,google,gryphe,inclusionai,infermatic,intfloat,kwaipilot,liquid,meta-llama,microsoft,minimax,mistralai,moonshotai,neversleep,nex-agi,nousresearch,nvidia,openai,openchat,openrouter,perplexity,poolside,qwen,sao10k,sentence-transformers,stepfun,tencent,thedrummer,tngtech,x-ai,xiaomi,z-ai
2025-01-01,0,0,111702378,21021605046,0,0,0,0,523705445,4206734934,7572398370,1393600247,0,169153893,0,0,0,3470565732,627876655,0,2793799010,0,285080938,0,843323655,86360636,1721565230,235986773,0,0,0,1232276086,144578431,0,0,0,273600214,0,196092899,0,0
2025-01-02,0,0,99988821,27952155594,0,0,0,0,590335093,3114852044,11781622335,1405323248,0,136857229,0,0,0,3608555132,682857971,0,2960788179,0,314525319,0,925836946,0,2795969117,251509987,0,0,0,2310823704,296569835,0,0,0,259003925,0,358687446,0,0
2025-01-03,0,0,0,29116053050,0,0,0,0,647088310,1861868526,12416252911,1279733080,0,0,0,0,0,3165163005,674835730,0,3029284300,0,291309953,0,899159651,0,3076043041,249524825,0,0,0,1269511706,256887923,0,0,0,265303571,0,234841932,0,0
2025-01-04,0,0,95784255,26214388572,0,0,0,0,543812274,1557254159,9484635243,1817562327,0,0,0,0,0,3240396532,571137062,0,2842632537,0,267374342,0,885002173,0,2077656833,258914000,0,0,0,732775013,128613758,0,0,0,248668051,0,262997363,0,0
2025-01-05,0,0,91831078,30288341720,0,0,0,0,524624427,2363669769,9000626777,1957090092,0,0,0,0,0,3211273321,651079186,0,3010220221,0,273227136,0,882728888,0,1965934618,258468166,0,0,0,982377799,150365812,0,0,0,244480615,0,287663058,0,0
2025-01-06,0,110228122,101320656,32269458613,0,0,0,0,749516343,3646164868,12763232922,1976332746,0,0,0,0,0,4970150632,680376375,0,3125741779,0,272184664,0,879624064,0,3259227145,239992017,0,0,0,1031765327,138247610,0,0,0,257480057,0,252020420,0,0
2025-01-07,0,394444950,107959831,33991000804,0,0,0,0,1682918500,3500822807,15653281728,2070370972,0,0,0,0,0,4926703728,645011318,0,2820530214,0,272650010,0,848395349,0,3361586419,234476136,0,0,0,1519258307,112588748,0,0,0,270160447,0,244080531,0,0
2025-01-08,0,369879696,0,36191576673,0,0,0,0,433151354,2695276379,11962707584,1229544548,0,0,0,0,0,4836777230,770744909,0,2616496220,0,276721906,0,903692364,0,2647093466,224516251,0,0,0,1830634890,138067768,0,0,0,248800341,0,196829335,0,0
2025-01-09,0,0,0,35709494279,0,0,0,0,438316879,2818169288,14069308686,1100445811,0,0,0,0,0,5254557023,724796006,0,2841712004,0,268383736,0,934735504,0,3018929912,268926128,0,0,0,1899901626,120020895,0,0,0,235714224,0,241461586,0,0
2025-01-10,0,121506695,0,35923077431,0,0,0,0,2321154216,2207639383,11554340102,1275860447,0,0,0,0,0,5615494262,746003669,0,2636359900,0,286337456,0,783235798,222363219,3096997343,289336251,0,0,0,1344149005,111880062,0,0,0,250932624,0,133853053,0,0
2025-01-11,0,0,0,30417789581,0,0,0,0,2247117901,2298766301,9411453665,1168457292,0,0,0,0,0,6091435167,733601985,0,2795966587,0,300065173,0,874478138,134664556,2899366171,290233753,0,0,0,1232668073,407229954,0,0,0,255736072,0,0,0,0
2025-01-12,0,0,0,35325918683,0,0,0,0,744108222,3218242082,15461534907,2102813844,0,0,0,0,0,5796061097,894795001,0,3822280234,0,332294266,0,706738614,0,2395219742,252231865,0,0,0,1242514386,739884431,0,0,0,280568017,0,102691218,0,0
2025-01-13,0,0,0,38589948602,0,0,0,0,594575936,3214053306,19507789147,4133547269,0,0,0,0,0,6541516723,799819916,0,2787139319,0,280110875,0,876835325,0,3002928607,277484380,0,0,0,858892773,514725112,0,0,0,259207985,0,120124979,0,0
2025-01-14,0,97931794,0,35591274744,0,0,0,0,1544977732,2586990442,14161012408,1657216810,0,0,0,0,0,6569159184,730704117,0,2847206442,0,269195376,0,865935882,0,3682455616,365784161,0,0,0,536466746,518602971,0,0,0,255773383,0,122900579,0,0
2025-01-15,0,188669712,0,37662752418,0,0,0,0,1748362389,2015360679,21011473261,1072537538,0,0,0,0,0,6755841708,609156662,102209504,2946962964,0,247369045,0,1032025084,184481770,3951312785,264373263,0,0,0,752825085,396198247,0,0,0,231667852,0,120857147,0,0
2025-01-16,0,0,0,38893587602,0,0,0,0,541306376,1849598005,14457483138,1115570528,0,0,0,0,0,6274193127,621151662,200665961,3032572684,0,248793050,0,1124191006,421126613,3779872188,215633161,0,0,0,743782317,405248969,0,0,0,229899549,0,116029609,0,0
2025-01-17,0,0,0,34194556553,0,0,0,0,517463138,2414430135,11522559995,1069741811,0,0,0,0,0,5239511982,794055708,365538611,2867499987,0,228953353,0,1067342722,125420539,3417054438,269754391,0,0,0,604834622,522606063,0,0,0,251505803,0,109243841,0,0
2025-01-18,0,0,0,32286557882,0,0,0,0,559203140,2229992893,7616590512,1161000655,0,0,0,0,0,4863067028,681452709,455723805,2821535479,0,241016033,0,983158836,0,2655566219,269879918,0,0,0,270867276,551310270,0,0,0,252171058,0,110471496,0,0
2025-01-19,0,363686994,0,32673824602,0,0,0,0,581788809,1859189074,12831053934,1297212779,0,0,0,0,0,4936623994,696695558,709982395,3261999046,0,254039581,0,1033091876,0,2663344204,271322243,0,0,0,1071120944,616022124,0,0,0,260970699,0,115296875,0,0
2025-01-20,0,282427009,0,36147376290,0,0,0,0,557883574,2437716275,15926253367,1104992655,0,0,0,0,0,5520477252,686557697,655485634,3112681664,0,290351080,0,1063759648,0,3421150478,268876161,0,0,0,562925095,404879964,0,0,0,286595809,0,114483076,0,0
2025-01-21,0,0,0,37955490705,0,0,0,0,435813784,4480656155,19563016274,895620281,0,0,0,0,0,4919882293,640397621,651123889,3047437821,0,248205219,0,1037435755,209439254,3277616852,190011543,0,0,0,594260689,216759953,0,0,0,259752971,0,122706945,0,0
2025-01-22,0,0,0,35925794946,0,0,0,0,434602014,3316528856,20108231275,1845429871,0,0,0,0,0,5686335838,995371770,617273689,3050482843,0,242432527,0,1016373695,0,4205529990,230550427,0,0,0,555146659,117551133,0,0,0,285205299,0,110153427,0,0
2025-01-23,0,142415368,118295146,35518232381,0,0,0,0,580041354,2793253923,14332724577,3761969383,0,0,0,0,0,5471154397,1020265218,768230004,3026729424,0,247614901,0,1084728918,0,3878402248,339342881,0,0,0,666307410,0,0,0,0,152206171,0,115046230,0,0
2025-01-24,0,591279553,121005450,37299132488,0,0,0,0,416530560,3484724373,8362805422,2244153265,0,0,0,0,0,6872950238,1102134095,548599953,2674306151,0,243319084,0,666875288,0,3656420206,260454594,0,0,0,727640843,0,0,0,0,172614318,0,126999391,0,0
2025-01-25,0,0,147206511,34147823093,0,0,0,0,451706135,2756521681,9699469446,2114097440,0,0,0,0,0,5910421927,872880052,643151131,2626438716,0,224430731,0,708425422,0,3343217191,206821387,0,0,0,311874338,0,0,0,0,252969510,0,112101821,0,0
2025-01-26,0,0,142089616,36270688786,0,0,0,0,484405744,2802037741,10608220087,1102215172,0,0,0,0,0,5177019634,1150172940,636213666,3665707589,0,218619241,0,589256321,0,4977594959,235798973,0,0,0,327724920,0,0,0,0,273622770,0,123521493,0,0
2025-01-27,0,0,152075297,40092707903,0,0,0,0,1221882244,3231308605,8680205613,1006568430,0,0,0,0,0,5161217029,1251708436,660034132,3425171197,0,272971731,0,715214649,0,4196601588,0,0,0,0,436170576,0,0,0,0,174200140,0,129425415,0,0
2025-01-28,0,0,0,41464390895,0,0,0,0,483954957,3678335664,8758390643,959209365,0,0,0,0,150790731,5115857240,1592089847,685449906,3413540431,0,259766416,0,765692369,0,4015661597,0,0,0,0,533371872,0,0,0,0,312688021,0,146286501,0,0
2025-01-29,0,176738448,0,45115336535,0,0,0,0,1041638870,4422438615,5042658725,949694384,0,0,0,0,130573784,5176495324,1971577354,608810791,3536738636,0,272607722,0,729529802,0,3961326896,0,0,0,0,1155671387,0,0,0,0,193476390,0,150141566,0,0
2025-01-30,0,181166513,0,49675674951,0,0,0,0,3432401816,6818063908,4939426460,922751882,0,0,0,0,138299229,5315204818,1867985330,661632151,3077418802,0,254435467,0,676740748,0,5958172168,0,0,0,0,627694832,0,0,0,0,316524816,0,154249380,0,0
2025-01-31,0,559962460,0,46231257920,0,0,0,0,800369295,5391735899,6857485783,930640071,0,0,0,0,144864221,6614643841,1982844546,698974488,3544646297,0,270640329,0,723588146,0,5344068760,0,0,0,0,622640538,0,0,0,0,196247163,0,0,0,0
