date,total_tokens,top50_tokens,other_tokens
2025-01-01,49151682771,46910006572,2241676199
2025-01-02,62408153540,59846261925,2561891615
2025-01-03,61193115505,58732861514,2460253991
2025-01-04,53598360079,51229604494,2368755585
2025-01-05,58396306085,56144002683,2252303402
2025-01-06,69386292686,66723064360,2663228326
2025-01-07,75431755847,72656240799,2775515048
2025-01-08,70221822873,67572510914,2649311959
2025-01-09,72356616201,69944873587,2411742614
2025-01-10,71507703702,68920520916,2587182786
2025-01-11,63816995783,61559030369,2257965414
2025-01-12,75866094246,73417896609,2448197637
2025-01-13,85115007863,82358700254,2756307609
2025-01-14,75222327281,72403588387,2818738894
2025-01-15,84115145855,81294437113,2820708742
2025-01-16,77055116590,74270705545,2784411045
2025-01-17,68495216858,65582073692,2913143166
2025-01-18,60483766614,58009565209,2474201405
2025-01-19,67857660985,65497265731,2360395254
2025-01-20,75688773433,72844872728,2843900705
2025-01-21,81360080410,78745628004,2614452406
2025-01-22,81625733261,78742994259,2882739002
2025-01-23,77114501415,74016959934,3097541481
2025-01-24,72673110544,69571945272,3101165272
2025-01-25,67152928393,64529556532,2623371861
2025-01-26,71483471593,68784909652,2698561941
2025-01-27,73948446787,70807462985,3140983802
2025-01-28,75487441672,72335476455,3151965217
2025-01-29,78035168383,74635455229,3399713154
2025-01-30,89094205165,85017843271,4076361894
2025-01-31,84790953671,80914609757,3876343914
2025-02-01,82720395965,78822309827,3898086138
2025-02-02,87631768147,83417019119,4214749028
2025-02-03,88421824989,83626020940,4795804049
2025-02-04,102119870049,97143417579,4976452470
2025-02-05,105669269279,100673393728,4995875551
2025-02-06,114992702177,109928943822,5063758355
2025-02-07,118370770895,113301622625,5069148270
2025-02-08,105864690395,100694813299,5169877096
2025-02-09,107394888620,102184119643,5210768977
2025-02-10,110479150384,104600348305,5878802079
2025-02-11,124503350714,118800438475,5702912239
2025-02-12,124490739152,118580400813,5910338339
2025-02-13,123401049224,117683746594,5717302630
2025-02-14,123551521514,117516875304,6034646210
2025-02-15,115361835640,109770178070,5591657570
2025-02-16,118560036919,113478877899,5081159020
2025-02-17,128184132562,122296663038,5887469524
2025-02-18,142100553307,136261462194,5839091113
2025-02-19,133578195110,127957866715,5620328395
2025-02-20,139567174082,133482589710,6084584372
2025-02-21,133191771578,127723215322,5468556256
2025-02-22,135116394860,130390068560,4726326300
2025-02-23,139667620904,134499369237,5168251667
2025-02-24,149673286419,143718243284,5955043135
2025-02-25,165872108916,160054034554,5818074362
2025-02-26,163891595218,158363611085,5527984133
2025-02-27,157817685268,152046348206,5771337062
2025-02-28,154373044616,148994316245,5378728371
2025-03-01,150042042719,145321425997,4720616722
2025-03-02,157225740186,152230793923,4994946263
2025-03-03,163696491542,157670231242,6026260300
2025-03-04,166790068558,160827263478,5962805080
2025-03-05,173962185656,167805179416,6157006240
2025-03-06,182100870835,175196118846,6904751989
2025-03-07,181200246972,174689757387,6510489585
2025-03-08,180393189127,174421775954,5971413173
2025-03-09,187301072720,181250674280,6050398440
2025-03-10,194916718158,187890674671,7026043487
2025-03-11,204393400391,197674408247,6718992144
2025-03-12,203060022546,196365657311,6694365235
2025-03-13,221928492539,214433986102,7494506437
2025-03-14,214068053396,207060748835,7007304561
2025-03-15,190299583462,184049407663,6250175799
2025-03-16,190302450623,183785205108,6517245515
2025-03-17,230930657288,222987074441,7943582847
2025-03-18,230236003769,222350434718,7885569051
2025-03-19,205403798836,197746843178,7656955658
2025-03-20,203790419935,195609008621,8181411314
2025-03-21,212462970583,204547990908,7914979675
2025-03-22,188084657023,181098003886,6986653137
2025-03-23,198759550985,191924104196,6835446789
2025-03-24,222905959539,214654987421,8250972118
2025-03-25,228382944505,219000676424,9382268081
2025-03-26,244887222843,236061490583,8825732260
2025-03-27,247700609528,238456925213,9243684315
2025-03-28,252577751172,244344580430,8233170742
2025-03-29,218184167792,211606753996,6577413796
2025-03-30,205111873157,198158730821,6953142336
2025-03-31,263186845381,255478532733,7708312648
2025-04-01,279117467876,271049113388,8068354488
2025-04-02,287084138362,279107416403,7976721959
2025-04-03,310210765749,301937572970,8273192779
2025-04-04,282175536516,273591143768,8584392748
2025-04-05,283090401484,275727056029,7363345455
2025-04-06,330016992208,321804298374,8212693834
2025-04-07,371768869788,361852932404,9915937384
2025-04-08,335124133287,325705982633,9418150654
2025-04-09,329550655879,320157618491,9393037388
2025-04-10,318345562644,308059365031,10286197613
2025-04-11,290444046062,279769197066,10674848996
2025-04-12,274911788714,266159515341,8752273373
2025-04-13,262977334963,254260481400,8716853563
2025-04-14,272286805249,260886976352,11399828897
2025-04-15,252985364647,241512348958,11473015689
2025-04-16,251118350224,239343723013,11774627211
2025-04-17,248960978027,235758908327,13202069700
2025-04-18,260110794546,247308899947,12801894599
2025-04-19,243572111478,232087550823,11484560655
2025-04-20,249634165943,238363107105,11271058838
2025-04-21,265611051403,251916007027,13695044376
2025-04-22,267828807102,254487382139,13341424963
2025-04-23,258244769365,243916662013,14328107352
2025-04-24,248136852554,235100021218,13036831336
2025-04-25,254213410032,242397498917,11815911115
2025-04-26,232948687662,220579080750,12369606912
2025-04-27,236480346124,224604692241,11875653883
2025-04-28,276156543714,261831046105,14325497609
2025-04-29,264007460755,247415487866,16591972889
2025-04-30,257745468847,241166858904,16578609943
2025-05-01,247853999972,231283025865,16570974107
2025-05-02,257124033765,241253078920,15870954845
2025-05-03,240108996884,226197829247,13911167637
2025-05-04,259953508223,244664096763,15289411460
2025-05-05,311745800261,294436358689,17309441572
2025-05-06,310263302559,292521609091,17741693468
2025-05-07,313740594702,297205236092,16535358610
2025-05-08,314099176805,296294422433,17804754372
2025-05-09,310235395101,292297809806,17937585295
2025-05-10,281325208183,265173312321,16151895862
2025-05-11,288603619977,273242709481,15360910496
2025-05-12,322905510657,305198049055,17707461602
2025-05-13,342403647632,324408052301,17995595331
2025-05-14,326602519998,309167805305,17434714693
2025-05-15,331569364598,313448488625,18120875973
